<<Electric power and temperature Information>>
Date,Electric power average,Electric power maximum value,Electric power minimum value,DKC0 CL1 Temperature average,DKC0 CL1 Temperature maximum value,DKC0 CL1 Temperature minimum value,DKC0 CL2 Temperature average,DKC0 CL2 Temperature maximum value,DKC0 CL2 Temperature minimum value
2016/11/21 02:00:00,691,696,690,19,20,19,19,20,19
2016/11/21 00:00:00,691,697,690,20,21,20,20,21,20
2016/11/20 22:00:00,691,696,689,19,21,19,19,21,19
2016/11/20 20:00:00,691,697,688,19,21,19,19,21,19
2016/11/20 18:00:00,702,995,490,19,20,19,19,20,19
2016/11/20 16:00:00,693,984,689,20,21,20,20,21,20
2016/11/20 14:00:00,691,696,689,19,21,19,19,20,19
2016/11/20 12:00:00,691,696,688,20,21,19,20,21,19
2016/11/20 10:00:00,692,699,690,20,21,19,20,21,19
2016/11/20 08:00:00,691,699,689,19,21,19,19,21,19
2016/11/20 06:00:00,691,696,689,19,20,19,19,20,19
2016/11/20 04:00:00,691,696,688,19,20,19,19,20,19
2016/11/20 02:00:00,691,696,689,19,21,19,19,21,19
2016/11/20 00:00:00,692,697,690,20,21,20,20,21,20
2016/11/19 22:00:00,691,697,690,19,21,19,19,21,19
2016/11/19 20:00:00,691,696,690,19,20,19,19,20,19
2016/11/19 18:00:00,691,696,688,19,21,19,19,21,19
2016/11/19 16:00:00,691,696,689,19,20,19,19,20,19
2016/11/19 14:00:00,691,695,689,19,20,19,19,20,19
2016/11/19 12:00:00,691,696,690,20,20,20,20,20,20
2016/11/19 10:00:00,692,697,690,19,20,19,19,20,19
2016/11/19 08:00:00,691,697,690,19,20,19,19,20,19
2016/11/19 06:00:00,691,696,689,19,20,19,19,20,19
2016/11/19 04:00:00,691,696,690,19,20,19,19,20,19
2016/11/19 02:00:00,691,696,689,19,21,19,19,21,19
2016/11/19 00:00:00,691,695,690,19,20,19,19,20,19
2016/11/18 22:00:00,695,717,689,19,20,19,19,20,19
2016/11/18 20:00:00,691,696,689,20,20,20,20,20,20
2016/11/18 18:00:00,691,695,690,19,20,19,19,20,19
2016/11/18 16:00:00,691,696,689,20,20,20,20,20,20
2016/11/18 14:00:00,691,696,689,19,20,19,19,20,19
2016/11/18 12:00:00,691,696,689,19,20,19,19,20,19
2016/11/18 10:00:00,691,698,688,19,20,19,19,20,19
2016/11/18 08:00:00,691,696,688,19,21,19,19,21,19
2016/11/18 06:00:00,691,696,689,19,20,19,19,20,19
2016/11/18 04:00:00,691,695,688,19,20,19,19,20,19
2016/11/18 02:00:00,691,696,689,19,20,19,19,20,19
2016/11/18 00:00:00,691,697,689,20,21,19,20,21,19
2016/11/17 22:00:00,691,696,689,19,20,19,19,20,19
2016/11/17 20:00:00,691,697,689,19,21,19,19,21,19
2016/11/17 18:00:00,692,697,690,19,21,19,19,21,19
2016/11/17 16:00:00,691,696,689,19,20,19,19,20,19
2016/11/17 14:00:00,692,697,690,19,20,19,19,20,19
2016/11/17 12:00:00,691,696,689,19,21,19,19,21,19
2016/11/17 10:00:00,691,699,689,20,20,20,20,20,20
2016/11/17 08:00:00,692,696,690,20,20,20,20,20,20
2016/11/17 06:00:00,691,696,690,19,20,19,19,20,19
2016/11/17 04:00:00,691,695,688,19,20,19,19,20,19
2016/11/17 02:00:00,691,696,689,19,20,19,19,20,19
2016/11/17 00:00:00,691,697,688,19,21,19,19,21,19
2016/11/16 22:00:00,691,696,688,19,20,19,19,20,19
2016/11/16 20:00:00,691,698,689,19,20,19,19,20,19
2016/11/16 18:00:00,691,698,689,19,20,19,19,20,19
2016/11/16 16:00:00,691,696,689,19,20,19,19,20,19
2016/11/16 14:00:00,691,696,689,20,20,20,20,20,20
2016/11/16 12:00:00,695,709,689,20,20,20,20,20,20
2016/11/16 10:00:00,703,710,701,19,20,19,19,20,19
2016/11/16 08:00:00,703,709,701,20,20,20,20,20,20
2016/11/16 06:00:00,703,708,701,19,20,19,19,20,19
2016/11/16 04:00:00,702,708,701,19,20,19,19,20,19
2016/11/16 02:00:00,703,707,701,20,20,20,20,20,20
2016/11/16 00:00:00,702,707,700,20,20,20,20,20,20
2016/11/15 22:00:00,703,708,702,20,21,20,20,21,20
2016/11/15 20:00:00,703,710,701,20,21,19,20,21,19
2016/11/15 18:00:00,703,708,701,19,21,19,19,21,19
2016/11/15 16:00:00,704,710,701,20,21,19,20,21,19
2016/11/15 14:00:00,703,709,702,20,21,19,20,21,19
2016/11/15 12:00:00,703,709,701,20,21,19,20,21,19
2016/11/15 10:00:00,703,710,701,20,20,20,20,20,20
2016/11/15 08:00:00,703,707,701,19,20,19,19,20,19
2016/11/15 06:00:00,702,707,701,20,20,20,20,20,20
2016/11/15 04:00:00,702,707,701,20,20,20,20,20,20
2016/11/15 02:00:00,702,707,701,20,20,20,20,20,20
2016/11/15 00:00:00,702,707,700,20,20,20,20,20,20
2016/11/14 22:00:00,704,728,700,20,21,19,20,21,19
2016/11/14 20:00:00,706,729,701,20,20,20,20,20,20
2016/11/14 18:00:00,703,708,701,20,21,20,20,21,20
2016/11/14 16:00:00,703,708,701,20,21,19,20,21,19
2016/11/14 14:00:00,702,707,702,20,20,20,20,20,20
2016/11/14 12:00:00,703,708,701,20,20,20,20,20,20
2016/11/14 10:00:00,703,710,702,20,20,20,20,20,20
2016/11/14 08:00:00,703,709,701,20,21,19,20,21,19
2016/11/14 06:00:00,703,707,701,19,20,19,19,20,19
2016/11/14 04:00:00,707,728,701,19,21,19,19,21,19
2016/11/14 02:00:00,703,708,700,20,20,20,20,20,20
2016/11/14 00:00:01,703,708,700,20,20,20,20,20,20
2016/11/13 21:59:59,703,709,701,20,21,20,20,21,20
2016/11/13 20:00:00,704,709,701,20,21,19,20,21,19
2016/11/13 18:00:00,703,709,701,20,21,19,20,21,19
2016/11/13 16:00:00,704,709,701,20,21,20,20,21,20
2016/11/13 14:00:01,704,709,701,20,21,19,20,21,19
2016/11/13 12:00:00,703,709,701,20,21,20,20,21,20
2016/11/13 10:00:00,703,710,701,19,21,19,19,21,19
2016/11/13 08:00:00,703,708,701,19,21,19,19,21,19
2016/11/13 06:00:00,703,708,701,20,21,20,20,21,20
2016/11/13 04:00:00,703,708,700,20,21,19,20,21,19
2016/11/13 02:00:00,704,710,702,20,21,19,20,21,19
2016/11/13 00:00:00,704,709,701,20,21,19,20,21,19
2016/11/12 22:00:00,703,708,701,19,21,19,19,21,19
2016/11/12 20:00:00,703,708,702,20,21,20,20,21,20
2016/11/12 18:00:00,704,709,701,20,21,19,20,21,19
2016/11/12 16:00:00,704,709,701,20,21,19,20,21,19
2016/11/12 14:00:00,703,708,702,20,21,20,20,21,20
2016/11/12 12:00:00,703,709,702,20,21,20,20,21,20
2016/11/12 10:00:00,704,712,702,20,21,20,20,21,20
2016/11/12 08:00:00,703,708,701,20,20,20,20,20,20
2016/11/12 06:00:00,703,708,701,20,20,20,20,20,20
2016/11/12 04:00:00,703,708,701,20,21,20,20,21,20
2016/11/12 02:00:00,703,708,700,20,21,20,20,21,20
2016/11/12 00:00:00,703,709,701,20,21,20,20,21,20
2016/11/11 22:00:00,703,708,701,20,21,20,20,21,20
2016/11/11 20:00:00,704,710,701,20,21,19,20,21,19
2016/11/11 18:00:00,703,709,702,20,21,20,20,21,20
2016/11/11 16:00:00,703,710,701,20,21,19,20,21,19
2016/11/11 14:00:00,703,708,702,20,21,20,20,21,20
2016/11/11 12:00:00,703,709,701,20,20,20,20,20,20
2016/11/11 10:00:00,703,710,702,20,20,20,20,20,20
2016/11/11 08:00:00,703,708,702,20,20,20,20,20,20
2016/11/11 06:00:00,703,707,701,20,20,20,20,20,20
2016/11/11 04:00:00,703,708,701,20,20,20,20,20,20
2016/11/11 02:00:00,703,707,701,20,20,20,20,20,20
2016/11/11 00:00:00,703,709,702,20,21,20,20,21,20
2016/11/10 22:00:00,703,709,702,19,21,19,19,21,19
2016/11/10 20:00:00,704,708,702,20,21,19,20,21,19
2016/11/10 18:00:00,703,708,702,19,20,19,19,20,19
2016/11/10 16:00:00,715,984,504,20,21,19,20,21,19
2016/11/10 14:00:00,704,709,702,20,21,19,20,21,19
2016/11/10 12:00:00,703,710,700,19,21,19,19,21,19
2016/11/10 10:00:00,704,711,702,20,21,20,20,21,20
2016/11/10 08:00:00,703,707,702,19,20,19,19,20,19
2016/11/10 06:00:00,704,709,701,20,21,19,20,21,19
2016/11/10 04:00:00,703,709,701,20,21,19,20,21,19
2016/11/10 02:00:00,703,709,701,20,21,19,20,21,19
2016/11/10 00:00:00,703,708,701,19,20,19,19,20,19
2016/11/09 22:00:00,703,707,701,20,20,20,20,20,20
2016/11/09 20:00:00,704,708,702,20,21,20,20,21,20
2016/11/09 18:00:00,703,708,702,19,20,19,19,20,19
2016/11/09 16:00:00,703,708,701,20,20,20,20,20,20
2016/11/09 14:00:00,703,709,701,19,21,19,19,21,19
2016/11/09 12:00:00,703,710,701,19,20,19,19,20,19
2016/11/09 10:00:00,704,711,701,20,21,20,20,21,20
2016/11/09 08:00:00,703,709,701,20,21,19,20,21,19
2016/11/09 06:00:00,703,707,701,19,20,19,19,20,19
2016/11/09 04:00:00,703,707,701,20,20,20,20,20,20
2016/11/09 02:00:00,703,708,701,20,20,20,20,20,20
2016/11/09 00:00:00,703,707,701,20,20,20,20,20,20
2016/11/08 22:00:00,703,729,702,20,20,20,20,20,20
2016/11/08 20:00:00,706,728,701,20,20,20,20,20,20
2016/11/08 18:00:00,703,707,701,20,20,20,20,20,20
2016/11/08 16:00:00,703,708,701,20,20,20,20,20,20
2016/11/08 14:00:00,703,708,702,20,20,20,20,20,20
2016/11/08 12:00:00,704,712,701,20,21,20,20,21,20
2016/11/08 10:00:00,704,711,701,20,21,19,20,21,19
2016/11/08 08:00:00,703,707,702,20,20,20,20,20,20
2016/11/08 06:00:00,703,708,701,20,20,20,20,20,20
2016/11/08 04:00:00,703,709,702,20,21,20,20,21,20
2016/11/08 02:00:00,703,708,701,19,20,19,19,20,19
2016/11/08 00:00:00,703,707,701,20,20,20,20,20,20
2016/11/07 22:00:00,703,709,701,20,21,19,20,21,19
2016/11/07 20:00:00,703,709,702,20,21,19,20,21,19
2016/11/07 18:00:00,703,708,702,20,20,20,20,20,20
2016/11/07 16:00:00,703,708,701,20,20,20,20,20,20
2016/11/07 14:00:00,703,709,701,20,21,20,20,21,20
2016/11/07 12:00:00,703,708,702,19,21,19,19,21,19
2016/11/07 10:00:00,703,711,701,19,20,19,19,20,19
2016/11/07 08:00:00,703,708,701,20,20,20,20,20,20
2016/11/07 06:00:00,703,707,700,20,20,20,20,20,20
2016/11/07 04:00:00,703,707,702,20,20,20,20,20,20
2016/11/07 02:00:00,703,708,702,20,20,20,20,20,20
2016/11/07 00:00:00,703,708,702,20,20,20,20,20,20
2016/11/06 22:00:00,703,708,702,19,21,19,19,21,19
2016/11/06 20:00:00,703,707,701,20,20,20,20,20,20
2016/11/06 18:00:00,703,708,702,20,20,20,20,20,20
2016/11/06 16:00:00,703,709,702,20,21,19,20,21,19
2016/11/06 14:00:00,703,710,701,19,21,19,19,21,19
2016/11/06 12:00:00,703,708,701,19,20,19,19,20,19
2016/11/06 10:00:00,704,710,701,19,21,19,19,21,19
2016/11/06 08:00:00,703,708,702,20,20,20,20,20,20
2016/11/06 05:59:58,703,708,702,20,20,20,20,20,20
2016/11/06 04:00:00,703,709,702,20,20,20,20,20,20
2016/11/06 02:00:00,704,709,702,20,21,20,20,21,20
2016/11/06 00:00:00,703,709,701,20,21,19,20,21,19
2016/11/05 22:00:00,704,710,702,20,21,20,20,21,20
2016/11/05 20:00:00,704,709,701,20,21,20,20,21,20
2016/11/05 18:00:00,704,709,702,20,21,20,20,21,20
2016/11/05 16:00:00,703,708,702,20,20,20,20,20,20
2016/11/05 14:00:00,703,708,702,20,20,20,20,20,20
2016/11/05 12:00:00,703,708,702,20,20,20,20,20,20
2016/11/05 10:00:00,704,713,702,20,20,20,20,20,20
2016/11/05 08:00:00,703,708,702,20,20,20,20,20,20
2016/11/05 06:00:00,703,708,702,19,20,19,19,20,19
2016/11/05 04:00:00,703,707,702,20,20,20,20,20,20
2016/11/05 02:00:00,703,708,702,20,20,20,20,20,20
2016/11/05 00:00:00,703,708,701,20,20,20,20,20,20
2016/11/04 22:00:00,703,711,702,20,21,20,20,21,20
2016/11/04 20:00:00,707,731,702,20,21,20,20,21,20
2016/11/04 18:00:00,704,710,702,20,21,20,20,21,20
2016/11/04 16:00:00,703,710,702,19,21,19,19,21,19
2016/11/04 14:00:00,703,709,702,19,21,19,19,21,19
2016/11/04 12:00:00,703,709,701,20,20,20,20,20,20
2016/11/04 10:00:00,704,711,701,19,21,19,19,21,19
2016/11/04 08:00:00,704,709,702,20,21,20,20,21,20
2016/11/04 06:00:00,703,708,702,20,20,20,20,20,20
2016/11/04 04:00:00,704,728,700,20,20,20,19,20,19
2016/11/04 02:00:00,707,728,701,20,21,20,20,21,20
2016/11/04 00:00:00,703,709,701,20,21,19,20,21,19
2016/11/03 22:00:00,703,709,702,20,21,20,20,21,20
2016/11/03 20:00:00,703,708,702,19,20,19,19,20,19
2016/11/03 18:00:00,703,709,702,20,20,20,20,20,20
2016/11/03 16:00:00,703,708,701,20,20,20,20,20,20
2016/11/03 14:00:00,703,708,702,20,20,20,20,20,20
2016/11/03 12:00:00,703,708,702,20,20,20,20,20,20
2016/11/03 10:00:00,704,713,701,19,20,19,19,20,19
2016/11/03 08:00:00,703,708,702,20,20,20,20,20,20
2016/11/03 06:00:00,704,710,702,20,21,19,20,21,19
2016/11/03 04:00:00,703,710,702,20,21,19,20,21,19
2016/11/03 02:00:00,703,709,701,19,21,19,19,21,19
2016/11/03 00:00:00,703,707,701,20,20,20,20,20,20
2016/11/02 22:00:00,703,707,701,20,20,20,20,20,20
2016/11/02 20:00:00,703,708,701,20,20,20,20,20,20
2016/11/02 18:00:00,703,710,702,20,21,20,20,21,20
2016/11/02 16:00:00,703,709,702,20,21,20,20,21,20
2016/11/02 14:00:00,704,709,702,20,21,19,20,21,19
2016/11/02 12:00:00,704,707,702,20,20,20,20,20,20
2016/11/02 10:00:00,,,,,,,,,
2016/11/02 08:00:00,,,,,,,,,
2016/11/02 06:00:00,,,,,,,,,
2016/11/02 04:00:00,,,,,,,,,
2016/11/02 02:00:00,,,,,,,,,
2016/11/02 00:00:00,,,,,,,,,
2016/11/01 22:00:00,,,,,,,,,
2016/11/01 20:00:00,,,,,,,,,
2016/11/01 18:00:00,,,,,,,,,
2016/11/01 16:00:00,,,,,,,,,
2016/11/01 14:00:00,703,708,701,20,21,20,20,21,20
2016/11/01 12:00:00,703,708,700,19,21,19,19,21,19
2016/11/01 10:00:00,704,714,702,19,21,19,19,21,19
2016/11/01 08:00:00,702,707,702,20,20,20,20,20,20
2016/11/01 06:00:00,702,707,701,20,20,20,20,20,20
2016/11/01 04:00:00,703,708,701,19,20,19,20,20,20
2016/11/01 02:00:00,702,707,701,19,20,19,19,20,19
2016/11/01 00:00:00,703,707,701,19,20,19,19,20,19
2016/10/31 22:00:00,703,708,702,19,21,19,19,21,19
2016/10/31 20:00:00,703,709,701,19,21,19,19,21,19
2016/10/31 18:00:00,703,714,702,19,20,19,19,20,19
2016/10/31 16:00:00,702,711,701,19,20,19,19,20,19
2016/10/27 16:00:00,692,699,690,19,19,19,19,19,19
2016/10/27 14:00:00,693,702,690,19,20,19,19,20,19
2016/10/27 12:00:00,698,732,692,18,19,18,18,19,18
2016/10/27 10:00:00,693,703,689,19,20,19,19,20,19
2016/10/27 08:00:00,691,700,688,18,19,18,18,19,18
2016/10/27 06:00:00,692,698,688,18,19,18,18,19,18
2016/10/27 04:00:00,692,698,690,18,19,18,18,19,18
2016/10/27 02:00:00,691,701,688,18,19,18,18,19,18
2016/10/27 00:00:00,691,696,688,18,19,18,18,19,18
2016/10/26 22:00:00,698,735,690,19,20,19,19,20,19
2016/10/26 20:00:00,698,723,689,19,20,19,19,20,19
2016/10/26 18:00:00,700,722,692,19,19,19,19,19,19
2016/10/26 16:00:00,698,725,691,18,19,18,18,19,18
2016/10/26 14:00:00,696,716,691,19,19,19,19,19,19
2016/10/26 12:00:00,694,701,691,18,19,18,18,19,18
2016/10/26 10:00:00,693,700,689,18,20,18,18,20,18
2016/10/26 08:00:00,692,719,690,18,20,18,18,20,18
2016/10/26 06:00:00,692,700,689,18,19,18,18,19,18
2016/10/26 04:00:00,692,698,689,18,19,18,18,19,18
2016/10/26 02:00:00,691,696,688,18,19,18,18,19,18
2016/10/26 00:00:00,691,701,689,19,20,19,19,20,19
2016/10/25 22:00:00,692,700,690,19,20,19,19,20,19
2016/10/25 20:00:00,692,699,690,19,20,19,19,20,19
2016/10/25 18:00:00,693,700,690,19,20,19,19,20,19
2016/10/25 16:00:00,695,701,692,19,20,19,19,20,19
2016/10/25 14:00:00,693,701,691,18,20,18,18,20,18
2016/10/25 12:00:00,694,701,690,19,19,19,19,19,19
2016/10/25 10:00:00,692,700,689,18,20,18,18,20,18
2016/10/25 08:00:00,691,699,689,19,20,19,19,20,19
2016/10/25 06:00:00,692,697,691,19,20,19,19,20,19
2016/10/25 04:00:00,692,697,690,19,20,19,19,20,19
2016/10/25 02:00:00,692,698,689,19,20,19,19,20,19
2016/10/25 00:00:00,693,701,690,19,20,19,19,20,19
2016/10/24 22:00:00,693,711,689,19,20,19,19,20,19
2016/10/24 20:00:00,693,707,690,19,20,19,19,20,19
2016/10/24 18:00:00,693,701,689,18,20,18,18,20,18
2016/10/24 16:00:00,694,700,691,19,19,19,19,19,19
2016/10/24 14:00:00,694,701,691,18,19,18,18,19,18
2016/10/24 12:00:00,694,701,692,19,20,19,19,20,19
2016/10/24 10:00:00,693,700,690,19,20,19,19,20,19
2016/10/24 08:00:00,692,699,690,19,20,19,19,20,19
2016/10/24 06:00:00,693,698,691,19,20,19,19,20,19
2016/10/24 04:00:00,692,699,690,19,20,19,19,20,19
2016/10/24 02:00:00,692,697,690,19,20,19,19,20,19
2016/10/24 00:00:00,692,697,689,19,20,19,19,20,19
2016/10/23 22:00:00,692,697,690,19,20,19,19,20,19
2016/10/23 20:00:00,692,697,691,19,19,19,19,19,19
2016/10/23 18:00:00,692,699,691,19,19,19,19,19,19
2016/10/23 16:00:00,693,698,690,19,20,19,19,20,19
2016/10/23 14:00:00,692,698,690,19,19,19,19,19,19
2016/10/23 12:00:00,692,698,690,19,20,19,19,20,19
2016/10/23 10:00:00,692,698,691,19,20,19,19,20,19
2016/10/23 08:00:00,692,697,690,19,20,19,19,20,19
2016/10/23 06:00:00,692,696,690,19,20,19,19,20,19
2016/10/23 04:00:00,692,696,691,19,20,19,19,20,19
2016/10/23 02:00:00,692,696,690,19,20,19,19,20,19
2016/10/23 00:00:00,692,698,690,19,20,19,19,20,19
2016/10/22 22:00:00,692,697,690,19,20,19,19,20,19
2016/10/22 20:00:00,692,698,690,19,20,19,19,20,19
2016/10/22 18:00:00,692,702,690,19,20,19,19,20,19
2016/10/22 16:00:00,692,699,690,19,20,19,19,20,19
2016/10/22 14:00:00,691,698,690,19,20,19,19,20,19
2016/10/22 12:00:00,692,699,690,19,20,19,19,20,19
2016/10/22 10:00:00,692,698,690,19,20,19,19,20,19
2016/10/22 08:00:00,692,697,690,19,20,19,19,20,19
2016/10/22 06:00:00,692,696,690,19,20,19,19,20,19
2016/10/22 04:00:00,691,695,690,19,20,19,19,20,19
2016/10/22 02:00:00,691,696,690,19,20,19,19,20,19
2016/10/22 00:00:00,691,697,690,19,20,19,19,20,19
2016/10/21 22:00:00,692,698,690,19,20,19,19,20,19
2016/10/21 20:00:00,692,697,691,19,20,19,19,20,19
2016/10/21 18:00:00,709,967,470,19,20,19,19,20,19
2016/10/21 16:00:00,694,700,691,18,19,18,18,19,18
2016/10/21 14:00:00,694,699,690,18,19,18,18,19,18
2016/10/21 12:00:00,694,699,690,19,19,19,19,19,19
2016/10/21 10:00:00,692,699,690,19,19,19,19,19,19
2016/10/21 08:00:00,690,697,688,19,20,19,19,20,19
2016/10/21 06:00:00,691,696,688,19,20,18,19,20,18
2016/10/21 04:00:00,690,696,687,18,19,18,18,19,18
2016/10/21 02:00:00,690,696,689,18,19,18,18,19,18
2016/10/21 00:00:00,691,697,689,18,19,18,18,19,18
2016/10/20 22:00:00,691,698,689,18,19,18,18,19,18
2016/10/20 20:00:00,695,719,689,18,19,18,18,19,18
2016/10/20 18:00:00,693,700,690,18,19,18,18,19,18
2016/10/20 16:00:00,695,705,692,19,19,19,19,19,19
2016/10/20 14:00:00,694,700,691,19,19,19,19,19,19
2016/10/17 12:00:00,694,701,692,19,20,19,19,20,19
2016/10/17 10:00:00,692,700,690,18,19,18,18,19,18
2016/10/17 08:00:00,690,698,688,18,19,18,18,19,18
2016/10/17 06:00:00,690,695,688,18,19,18,18,19,18
2016/10/17 04:00:00,690,695,688,18,19,18,18,19,18
2016/10/17 02:00:00,690,696,688,18,19,18,18,19,18
2016/10/17 00:00:00,690,695,689,18,19,18,18,19,18
2016/10/16 22:00:00,690,696,689,18,19,18,18,19,18
2016/10/16 20:00:00,690,696,688,18,19,18,18,19,18
2016/10/16 18:00:00,690,696,689,18,19,18,18,19,18
2016/10/16 16:00:00,691,696,687,18,19,18,18,19,18
2016/10/16 14:00:00,691,698,689,19,19,19,19,19,19
2016/10/16 12:00:00,691,699,688,18,19,18,18,19,18
2016/10/16 10:00:00,691,697,688,18,19,18,18,19,18
2016/10/16 08:00:00,690,696,687,18,19,18,18,19,18
2016/10/16 06:00:00,690,696,688,18,19,18,18,19,18
2016/10/16 04:00:00,690,695,687,18,19,18,18,19,18
2016/10/16 02:00:00,690,696,688,18,19,18,18,19,18
2016/10/16 00:00:00,690,695,688,18,19,18,18,19,18
2016/10/15 22:00:00,690,695,688,18,19,18,18,19,18
2016/10/15 20:00:00,690,695,688,18,19,18,18,19,18
2016/10/15 18:00:00,691,698,689,18,19,18,18,19,18
2016/10/15 16:00:00,691,699,689,18,19,18,18,19,18
2016/10/15 14:00:00,691,699,689,18,19,18,18,19,18
2016/10/15 12:00:00,690,699,688,18,19,18,18,19,18
2016/10/15 10:00:00,691,700,687,18,19,18,18,19,18
2016/10/15 08:00:00,690,696,687,18,19,18,18,19,18
2016/10/15 06:00:00,690,696,688,18,19,18,18,19,18
2016/10/15 04:00:00,690,695,688,18,19,18,18,19,18
2016/10/15 02:00:00,690,695,688,18,19,18,18,19,18
2016/10/15 00:00:00,691,698,689,18,19,18,18,19,18
2016/10/14 22:00:00,691,698,689,19,19,19,19,19,19
2016/10/14 20:00:00,692,698,690,19,20,19,19,20,19
2016/10/14 18:00:00,693,699,691,18,20,18,18,20,18
2016/10/14 16:00:00,693,700,690,18,19,18,18,19,18
2016/10/14 14:00:00,693,700,690,18,20,18,18,20,18
2016/10/14 12:00:00,694,700,692,18,20,18,18,20,18
2016/10/14 10:00:00,693,700,690,19,20,19,19,20,19
2016/10/14 08:00:00,691,698,689,19,20,19,19,20,19
2016/10/14 06:00:00,691,696,690,19,19,19,19,19,19
2016/10/14 04:00:00,691,696,690,19,20,19,19,20,19
2016/10/14 02:00:00,691,696,689,19,20,19,19,20,19
2016/10/14 00:00:00,691,697,689,19,20,19,19,20,19
2016/10/13 22:00:00,692,701,690,19,20,19,19,20,19
2016/10/13 20:00:00,692,699,690,19,20,18,19,20,18
2016/10/13 18:00:00,694,701,690,19,20,19,19,20,19
2016/10/13 16:00:00,694,701,692,18,20,18,18,20,18
2016/10/13 14:00:00,693,700,691,19,19,19,19,19,19
2016/10/13 12:00:00,693,700,689,18,19,18,18,19,18
2016/10/13 10:00:00,692,699,689,18,19,18,18,19,18
2016/10/13 08:00:00,691,697,689,18,19,18,18,19,18
2016/10/13 06:00:00,690,696,689,18,19,18,18,19,18
2016/10/13 04:00:00,690,695,688,18,19,18,18,19,18
2016/10/13 02:00:00,691,697,688,18,19,18,18,19,18
2016/10/13 00:00:00,691,697,690,18,19,18,18,19,18
2016/10/12 22:00:00,691,697,688,19,19,19,19,19,19
2016/10/12 20:00:00,692,698,690,18,20,18,18,20,18
2016/10/12 18:00:00,693,700,690,18,19,18,18,19,18
2016/10/12 16:00:00,692,699,690,18,19,18,18,19,18
2016/10/12 14:00:00,692,699,689,18,19,18,18,19,18
2016/10/12 12:00:00,693,699,691,19,19,19,19,19,19
2016/10/12 10:00:00,692,698,688,19,19,19,19,19,19
2016/10/12 08:00:00,690,697,688,18,19,18,18,19,18
2016/10/12 06:00:00,690,696,687,19,19,19,19,19,19
2016/10/12 04:00:00,690,695,688,19,19,19,19,19,19
2016/10/12 02:00:00,689,697,688,19,19,19,19,19,19
2016/10/12 00:00:00,690,695,689,18,19,18,18,19,18
2016/10/11 22:00:00,691,697,689,19,19,19,19,19,19
2016/10/11 20:00:00,691,699,689,19,19,19,19,19,19
2016/10/11 18:00:00,699,966,499,19,19,19,19,19,19
2016/10/11 16:00:00,700,972,508,19,19,19,19,19,19
2016/10/11 14:00:00,692,698,690,19,19,19,19,19,19
2016/10/11 12:00:00,693,699,691,19,19,19,19,19,19
2016/10/11 10:00:00,691,699,688,18,19,18,18,19,18
2016/10/11 08:00:00,690,697,688,18,19,18,18,19,18
2016/10/11 06:00:00,690,695,688,18,19,18,18,19,18
2016/10/11 04:00:00,690,695,688,18,19,18,18,19,18
2016/10/11 02:00:00,689,695,688,18,19,18,18,19,18
2016/10/11 00:00:00,690,696,687,18,19,18,18,19,18
2016/10/10 22:00:00,690,695,687,19,19,19,19,19,19
2016/10/10 20:00:00,694,715,688,18,19,18,18,19,18
2016/10/10 18:00:00,690,697,688,18,19,18,18,19,18
2016/10/10 16:00:00,690,695,688,18,19,18,18,19,18
2016/10/10 14:00:00,689,696,688,18,19,18,18,19,18
2016/10/10 12:00:00,690,696,688,18,19,18,18,19,18
2016/10/10 10:00:00,691,696,688,18,19,18,18,19,18
2016/10/10 08:00:00,694,716,687,18,19,18,18,19,18
2016/10/10 06:00:00,690,696,688,18,19,18,18,19,18
2016/10/10 04:00:00,689,694,688,18,19,18,18,19,18
2016/10/10 02:00:00,690,695,688,18,19,18,18,19,18
2016/10/10 00:00:00,689,695,688,18,19,18,18,19,18
2016/10/09 22:00:00,690,694,688,19,19,19,19,19,19
2016/10/09 20:00:00,690,695,688,19,19,19,19,19,19
2016/10/09 18:00:00,690,696,688,19,19,19,19,19,19
2016/10/09 16:00:00,689,695,688,19,19,19,19,19,19
2016/10/09 14:00:00,689,694,688,18,19,18,18,19,18
2016/10/09 12:00:00,689,694,688,19,19,19,19,19,19
2016/10/09 10:00:00,690,695,688,18,19,18,18,19,18
2016/10/09 08:00:00,690,695,688,19,19,19,19,19,19
2016/10/09 06:00:00,689,695,687,19,19,19,19,19,19
2016/10/09 04:00:00,690,695,688,19,19,19,19,19,19
2016/10/09 02:00:00,690,696,688,19,19,19,19,19,19
2016/10/09 00:00:00,690,695,688,19,19,19,19,19,19
2016/10/08 22:00:00,689,695,687,19,19,19,19,19,19
2016/10/08 20:00:00,690,695,688,19,19,19,18,19,18
2016/10/08 18:00:00,691,696,688,19,19,19,19,19,19
2016/10/08 16:00:00,691,696,689,19,19,19,19,19,19
2016/10/08 14:00:00,690,696,689,19,19,19,19,19,19
2016/10/08 12:00:00,691,697,689,19,19,19,19,19,19
2016/10/08 10:00:00,690,697,688,19,19,19,19,19,19
2016/10/08 08:00:00,690,696,688,18,19,18,18,19,18
2016/10/08 06:00:00,690,695,688,19,19,19,19,19,19
2016/10/08 04:00:00,690,694,688,18,19,18,18,19,18
2016/10/08 02:00:00,690,695,688,19,19,19,19,19,19
2016/10/08 00:00:00,690,696,689,19,19,19,19,19,19
2016/10/07 22:00:00,690,695,688,18,19,18,18,19,18
2016/10/07 20:00:00,690,696,688,18,19,18,18,19,18
